Samples,Author,Area,TAS,LAT,LONG,LATUTM,LONGUTM,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,B,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,Li,Mn,Nb,Ni,Pb,Rb,Sb,Sc,Sr,Ta,Th,TL,U,V,Y,Zn,Zr
,,,ACID,,,,,77.83828161,0.091228615,12.44763769,0.440349372,0.880698744,0.010136513,0.081092102,0.243276307,2.959861731,4.997300799,0.010136513,20.8,50.58,4.18,15.35,,3.39,0.102,3.31,0.62,4.51,1.12,3.09,0.52,3.63,0.57,,34.3,9.9,0.3,3.1,11.2,9.3,26,5.9,,,25.2,2.6,39,399,0.5,,8.9,3.4,38.3,,7.1,3.1,31.2,42.8,141
,,,ACID,,,,,77.4778163,0.071080565,12.78434741,0.456879434,0.913758869,0.010154366,0.081234932,0.182778597,2.772142051,5.239653108,0.010154366,11.72,25.69,2.17,8.15,,2.13,0.059,2.21,0.45,3.14,0.8,2.01,0.33,2.3,0.36,,16,10.2,0.3,,14,7,30.4,7.3,,,33,0.6,39,538,0.7,,5.6,4.9,25.7,,6.3,2.9,20.8,76.2,152
,,,ACID,,,,,77.12606308,0.071450826,13.05508664,0.414917052,0.829834103,0.020414522,0.051036304,0.193937956,3.266323476,4.950521518,0.020414522,13.25,59.78,3.12,11.93,,3.29,0.052,3.13,0.56,3.79,0.89,2.37,0.44,3.34,0.48,,61.8,10.1,0.4,3.2,20.8,7.6,27.5,6.3,,,33.7,2.1,39.2,471,0.4,,12.1,5.1,44.7,,8.1,11.1,23.4,52.4,130
,,,ACID,,,,,76.35444986,0.050828418,13.89648954,0.410072566,0.820145133,0.010165684,0.010165684,0.081325469,3.059870777,5.296321179,0.010165684,5.13,21.08,1.18,4.91,,2.55,0.054,3.58,0.76,5.59,1.32,3.7,0.68,4.66,0.66,,0.9,19.2,66.4,1.2,4.3,4.5,52.6,10.3,,,108,,58.4,416,1.1,,,13.9,33.4,,7.3,3.1,32.6,103,158
,,,ACID,,,,,78.58708269,0.080068347,11.48980781,0.428578851,0.857157702,0.010008543,0.06005126,0.420358822,2.942511756,5.094348585,0.03002563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACID,,,,,76.30544728,0.486148344,12.57040719,0.301702966,0.603405933,0.01984279,0.059528369,0.68457624,4.057850467,4.901169023,0.009921395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACID,,,,,74.41977866,0.057287732,13.0545675,0.980505608,1.961011217,0.033166582,0.117590607,0.527650161,2.923684414,5.903651512,0.021106006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACID,,,,,75.7825179,0.059362302,13.66238463,0.579764203,1.159528406,0.011067548,0.134822855,0.306872915,3.213613412,5.058875465,0.031190362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACID,,,,,77.04426927,0.114612663,12.90108786,0.576966079,1.153932158,0.023536529,0.099262753,0.613996408,2.1367075,5.310045601,0.025583184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACID,,,,,81.86535662,0.176292585,11.96944655,0.538129414,1.076258827,0.004099828,0.064572284,0.145543878,0.688771029,3.452054802,0.019474181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACID,,,,,77.8954516,0.113520134,12.28081444,0.467534687,0.935069374,0.020640024,0.185760218,0.712080837,2.115602488,5.232246153,0.041280049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACID,,,,,80.91868801,0.090744082,12.33910904,0.440168277,0.880336553,0.017731602,0.132465499,0.35776115,2.451133241,2.336399344,0.035463204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACID,,,,,76.37905927,0.06022002,13.2484045,0.429783272,0.859566544,0.02007334,0.210770072,0.441613483,2.810267621,5.520168541,0.02007334,17.9,,5.71,22.3,,6.31,0.07,7.1,1.41,9.01,1.84,5.19,0.88,5.47,0.73,,28,,,,,,,5.6,,,19,,,407,,,9,3.9,36,,8.6,,,,113
,,,ACID,,,,,77.38542303,0.060536185,12.91438611,0.479000538,0.958001076,0.020178728,0.191697919,0.312770289,2.724128321,4.943788434,0.010089364,10,,2.58,10.8,,3.47,0.08,4.01,1.02,7.57,1.66,5.4,0.92,6.23,1,,49,,,,,,,5,,,24,,,307,,,9,3.2,30,,4,,,,86
,,,ACID,,,,,77.34342448,0.080671108,12.70569946,0.416160108,0.832320216,0.020167777,0.13109055,0.292432765,3.327683191,4.84026646,0.010083888,24.3,,6.19,23.8,,6.07,0.08,6.74,1.27,7.76,1.62,4.71,0.8,5,0.7,,89,,,,,,,7.2,,,30,,,601,,,7,5.5,57,,7,,,,143
,,,ACID,,,,,78.65170035,0.100577622,11.76758177,0.380751802,0.761503603,0.020115524,0.140808671,0.512945872,2.514440548,5.129458718,0.020115524,28.7,,7.39,26.5,,6.22,0.19,6.87,1.57,10.2,2.13,6,1.01,6.01,0.81,,70,,,,,,,5.9,,,17,,,322,,,13,2.7,32,,7.8,,,,145
,,,ACID,,,,,78.58708269,0.080068347,11.48980781,0.428578851,0.857157702,0.010008543,0.06005126,0.420358822,2.942511756,5.094348585,0.03002563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACID,,,,,77.71550636,0.070095161,12.20657161,0.39461582,0.78923164,0.001001359,0.001001359,0.27036705,3.224377406,5.317218642,0.010013594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACID,,,,,76.79903845,0.05007109,12.70804274,0.422607039,0.845214078,0.001001422,0.020028436,0.510725122,3.875502396,4.766767806,0.001001422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACID,,,,,77.36213458,0.100184065,12.2725479,0.475631765,0.95126353,0.001001841,0.001001841,0.6211412,2.745043366,5.450013107,0.020036813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACID,,,,,76.087826,0.04003569,13.0816612,0.40064322,0.80128643,0.01000892,0.00100089,0.62055317,3.64324766,5.07452352,0.23921324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
